,name,year,genre,imdb,meta,gross,runtime
298,Y Tu Mamá También,2001,Drama,7.7,88,13.62,106
299,Ghost World,2001,Comedy,7.4,88,6.22,111
300,Jeepers Creepers,2001,Horror,6.2,49,37.9,90
301,Rat Race,2001,Adventure,6.4,52,56.62,112
302,Spy Kids,2001,Action,5.5,71,112.72,88
303,Serendipity,2001,Comedy,6.9,52,50.29,90
304,The Mexican,2001,Adventure,6.1,43,66.81,123
305,The Man Who Wasn't There,2001,Crime,7.6,73,7.49,116
306,Behind Enemy Lines,2001,Action,6.4,49,59.07,106
307,Lagaan: Once Upon a Time in India,2001,Adventure,8.1,84,0.07,224
308,Atlantis: The Lost Empire,2001,Animation,6.9,52,84.05,95
309,Super Troopers,2001,Comedy,7.1,48,18.49,100
310,Not Another Teen Movie,2001,Comedy,5.7,32,38.25,89
311,Ali,2001,Biography,6.8,65,58.2,157
312,The Experiment,2001,Drama,7.7,60,0.14,120
313,The One,2001,Action,5.9,25,43.91,87
314,Sweet November,2001,Drama,6.7,27,25.29,119
315,Monster's Ball,2001,Drama,7.1,69,31.25,111
316,Final Fantasy: The Spirits Within,2001,Animation,6.4,49,32.13,106
317,Kate & Leopold,2001,Comedy,6.4,44,47.12,118
318,Thir13en Ghosts,2001,Horror,5.6,30,41.87,91
319,Gosford Park,2001,Comedy,7.3,90,41.31,131
320,Frailty,2001,Crime,7.3,64,13.1,100
321,The Wedding Planner,2001,Comedy,5.3,33,60.4,103
322,Along Came a Spider,2001,Drama,6.3,42,74.08,104
323,Shaolin Soccer,2001,Action,7.3,68,0.49,87
324,The Last Castle,2001,Action,6.9,43,18.21,131
325,Bandits,2001,Comedy,6.5,60,41.58,123
326,Joy Ride,2001,Mystery,6.6,75,21.97,97
327,Brotherhood of the Wolf,2001,Action,7.1,57,11.26,142
328,Kiss of the Dragon,2001,Action,6.6,58,36.85,98
329,The Devil's Backbone,2001,Drama,7.4,78,0.75,106
330,Waking Life,2001,Animation,7.8,82,2.89,99
331,Save the Last Dance,2001,Drama,6.2,53,91.06,112
332,The Animal,2001,Comedy,4.8,43,57.74,84
333,Cats & Dogs,2001,Action,5.1,47,93.39,87
334,America's Sweethearts,2001,Comedy,5.7,44,93.61,102
335,Original Sin,2001,Drama,6.0,33,16.25,116
336,The Majestic,2001,Drama,6.9,27,27.81,152
337,Session 9,2001,Horror,6.5,58,0.38,97
338,How High,2001,Comedy,6.3,29,31.16,93
339,The Pledge,2001,Crime,6.8,71,19.72,124
340,Wet Hot American Summer,2001,Comedy,6.7,42,0.29,97
341,The Piano Teacher,2001,Drama,7.5,79,1.9,131
342,Heartbreakers,2001,Comedy,6.2,47,40.34,123
343,Koroshiya 1,2001,Action,7.1,55,0.02,129
344,Ghosts of Mars,2001,Action,4.9,35,8.43,98
345,Joe Dirt,2001,Adventure,5.9,20,27.09,91
346,15 Minutes,2001,Action,6.1,34,24.4,120
347,Jason X,2001,Action,4.4,25,13.12,91
348,Formula 51,2001,Action,6.3,23,5.2,93
349,Don't Say a Word,2001,Drama,6.3,38,55.0,113
350,Freddy Got Fingered,2001,Comedy,4.5,13,14.25,87
351,No Man's Land,2001,Drama,8.0,84,1.06,98
352,Life as a House,2001,Drama,7.5,45,15.65,125
353,3000 Miles to Graceland,2001,Action,6.0,21,15.74,125
354,Dr. Dolittle 2,2001,Comedy,4.7,49,112.95,87
355,Cowboy Bebop: The Movie,2001,Animation,7.9,61,1.0,115
356,Rock Star,2001,Drama,6.3,54,17.01,105
357,Driven,2001,Action,4.6,29,32.62,116
358,Saving Silverman,2001,Comedy,5.9,22,19.35,90
359,The Curse of the Jade Scorpion,2001,Comedy,6.8,52,7.5,103
360,Black Knight,2001,Adventure,4.8,32,33.42,95
361,In the Bedroom,2001,Crime,7.4,86,35.93,130
362,The Believer,2001,Drama,7.2,75,0.41,98
363,Wasabi,2001,Action,6.7,53,0.08,94
364,Hearts in Atlantis,2001,Drama,6.9,55,24.19,101
365,Mean Machine,2001,Comedy,6.5,45,0.09,99
366,Sex and Lucía,2001,Drama,7.2,65,1.49,128
367,Bully,2001,Biography,7.0,45,1.54,108
368,Captain Corelli's Mandolin,2001,Drama,5.9,36,25.54,131
369,Heist,2001,Action,6.5,66,0.05,109
370,The Shipping News,2001,Drama,6.8,47,11.43,111
371,Exit Wounds,2001,Action,5.5,39,51.76,101
372,Osmosis Jones,2001,Animation,6.3,57,13.6,95
373,Hedwig and the Angry Inch,2001,Comedy,7.8,85,3.03,95
374,The Glass House,2001,Crime,5.8,34,18.0,106
375,Bubble Boy,2001,Adventure,5.6,41,5.0,84
376,Jimmy Neutron: Boy Genius,2001,Animation,6.0,65,80.94,82
377,One Night at McCool's,2001,Comedy,6.1,46,6.29,93
378,Antitrust,2001,Action,6.1,31,10.97,105
379,The Tailor of Panama,2001,Comedy,6.2,66,13.73,109
380,Hardball,2001,Drama,6.4,48,40.22,106
381,Riding in Cars with Boys,2001,Biography,6.5,43,30.17,132
382,Birthday Girl,2001,Comedy,6.1,51,4.92,93
383,Domestic Disturbance,2001,Crime,5.6,29,45.25,89
384,Valentine,2001,Horror,4.8,18,20.38,96
385,Crazy/Beautiful,2001,Drama,6.5,61,16.93,99
386,Buffalo Soldiers,2001,Comedy,6.8,56,0.35,98
387,Crocodile Dundee in Los Angeles,2001,Adventure,4.8,37,25.64,92
388,Someone Like You...,2001,Comedy,6.1,32,27.34,97
389,Monsoon Wedding,2001,Comedy,7.4,77,13.88,114
390,Impostor,2001,Drama,6.2,33,6.11,95
391,Knockaround Guys,2001,Crime,6.1,30,11.63,92
392,Angel Eyes,2001,Drama,5.6,39,24.04,102
393,Glitter,2001,Drama,2.2,14,4.27,104
394,Down to Earth,2001,Comedy,5.4,32,64.19,87
395,Josie and the Pussycats,2001,Comedy,5.4,47,14.25,98
396,Millennium Actress,2001,Animation,7.9,70,0.04,87
397,Enigma,2001,Drama,6.4,64,4.3,119
398,Metropolis,2001,Animation,7.3,75,0.64,108
399,Lost and Delirious,2001,Drama,7.0,53,0.3,103
400,O,2001,Drama,6.1,53,16.02,95
401,Lantana,2001,Drama,7.3,84,4.46,121
402,Tape,2001,Drama,7.3,71,0.49,86
403,Just Visiting,2001,Comedy,5.8,38,4.78,88
404,Get Over It,2001,Comedy,5.8,52,11.56,87
405,Tomcats,2001,Comedy,5.3,15,13.56,95
406,Human Nature,2001,Comedy,6.4,56,0.7,96
407,Storytelling,2001,Comedy,6.9,50,0.91,87
408,La stanza del figlio,2001,Drama,7.4,73,1.01,99
409,Made,2001,Comedy,6.4,62,5.31,95
410,Iris,2001,Biography,7.1,76,1.29,91
411,Out Cold,2001,Comedy,6.3,22,13.9,89
412,Monkeybone,2001,Animation,4.7,40,5.41,93
413,Le placard,2001,Comedy,7.0,72,6.67,84
414,Kissing Jessica Stein,2001,Comedy,6.6,72,7.02,97
415,Summer Catch,2001,Comedy,5.0,21,19.69,108
416,Kairo,2001,Horror,6.6,70,0.05,119
417,What's the Worst That Could Happen?,2001,Comedy,5.5,37,32.1,94
418,Son of the Bride,2001,Comedy,7.8,68,0.62,123
419,The Musketeer,2001,Action,4.8,27,27.07,104
420,Elling,2001,Comedy,7.6,70,0.31,89
421,American Outlaws,2001,Action,6.0,25,13.26,94
422,Head Over Heels,2001,Comedy,5.4,27,10.4,86
423,Pootie Tang,2001,Action,5.2,31,3.29,81
424,Sugar & Spice,2001,Comedy,5.6,48,13.28,81
425,Read My Lips,2001,Crime,7.4,82,1.36,115
426,Intacto,2001,Drama,6.9,59,0.3,108
427,Say It Isn't So,2001,Comedy,5.0,21,5.52,95
428,Corky Romano,2001,Comedy,4.7,20,23.98,86
429,Nirgendwo in Afrika,2001,Biography,7.6,72,6.17,141
430,Baby Boy,2001,Crime,6.4,55,28.73,130
431,Dogtown and Z-Boys,2001,Documentary,7.7,76,1.29,91
432,Winged Migration,2001,Documentary,8.0,82,10.76,89
433,The Deep End,2001,Crime,6.6,78,8.82,101
434,Intimacy,2001,Drama,6.2,69,0.1,119
435,Novocaine,2001,Comedy,5.8,45,2.04,95
436,Charlotte Gray,2001,Drama,6.4,48,0.67,121
437,The Grey Zone,2001,Drama,7.1,58,0.52,108
438,Fat Girl,2001,Drama,6.5,77,0.72,86
439,Joe Somebody,2001,Comedy,5.5,42,22.77,98
440,L.I.E.,2001,Crime,7.2,73,1.14,97
441,Thirteen Conversations About One Thing,2001,Drama,7.1,74,3.29,104
442,Manic,2001,Drama,7.4,60,0.07,100
443,Recess: School's Out,2001,Animation,6.6,43,36.7,82
444,See Spot Run,2001,Action,5.4,24,33.36,94
445,Le fate ignoranti,2001,Drama,7.4,69,0.22,106
446,The Forsaken,2001,Horror,5.3,35,7.29,90
447,Soul Survivors,2001,Horror,3.9,20,3.1,84
448,The Anniversary Party,2001,Comedy,6.3,56,4.01,115
449,Double Take,2001,Action,5.4,25,0.02,88
450,Mostly Martha,2001,Comedy,7.3,72,4.16,109
451,Blow Dry,2001,Comedy,6.3,38,0.64,94
452,L'ultimo bacio,2001,Comedy,7.0,65,1.05,115
453,The Cat's Meow,2001,Drama,6.4,63,3.21,114
454,Baran,2001,Drama,7.8,79,0.13,94
455,All About Lily Chou-Chou,2001,Crime,7.7,73,0.02,146
456,The Body,2001,Drama,5.4,21,0.03,109
457,Max Keeble's Big Move,2001,Comedy,5.4,40,17.29,86
458,Lovely & Amazing,2001,Comedy,6.8,75,4.19,91
459,Trouble Every Day,2001,Drama,6.0,40,0.01,101
460,Abril Despedaçado,2001,Drama,7.7,73,0.06,105
461,The Wash,2001,Comedy,4.7,18,10.1,93
462,Series 7: The Contenders,2001,Comedy,6.6,55,0.17,86
463,Sidewalks of New York,2001,Comedy,6.5,49,2.4,108
464,Bones,2001,Crime,4.1,42,7.31,96
465,Safar e Ghandehar,2001,Biography,6.8,76,0.02,81
466,Chuen jik sat sau,2001,Action,7.0,54,0.01,102
467,The Caveman's Valentine,2001,Crime,5.9,44,0.69,105
468,Atanarjuat: The Fast Runner,2001,Drama,7.5,91,3.79,172
469,Two Can Play That Game,2001,Comedy,6.1,35,22.24,90
470,Der Tunnel,2001,Drama,7.8,72,0.01,150
